titles,content
01 - O que são vetores,"Title: 01 - O que são vetores
Views count: 517
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=cQfY8Epzg0s

e aqui pessoal Tiago falando e se você chegou até aqui você provavelmente quer saber um pouco sobre a vetores certo bem e o propósito deste vídeo explicar o que é que são vetores vetores Na verdade são uma forma mais elegante na matemática que apresentar grandezas multidimensionais e e o que que eu quero dizer com estes bom quando a gente está em matemática a gente geralmente representa as coisas que a gente quer modelar os números certo ou matemática ou física ou sei lá o que você quiser por exemplo meu saldo bancário é tão aí você é um número que apresenta ter o saldo bancário aí você fala olha passaram tantos segundos desde tal evento é que você tem um número que representa esse tanto de segundos que passaram dele tá o evento ou tem cinco laranjas na minha cesta e aí você tem o número que representa esse número de lá de laranjas na sua sexta certo acontece e tem algumas grandezas e não são representáveis com o número só por exemplo em que ponto eu estou na terra tá precisar de saber sua Longitude sua latitude que são dois números e quando você tem mais de 1 número representando uma uma grandeza na verdade você tem um vetor Ok vamos lá ver o que é que isso significa e quando você tinha uma grandeza escalar você tinha um número Só que representava a sua grandeza Ok por exemplo você tem um número de laranjas E aí se você tem um o tempo que passou desde tá o evento você tem talvez o número da rua em que você está certo número da rua isso aqui são tudo grandezas escalares o que seus títulos e passou 5 segundos desde tal evento você sabe tudo que você precisa saber sobre isso ok acontece que às vezes você está em um lugar ou você tá em uma situação que você precisa de mais de 1 número para descrever a coisa E aí então o que é que você faz do causa de dois números agora tá certo você e um plano cartesiano bom e você vai dizer olha aqui vai ser a sua dimensão um que eu gosto mais de X aqui vai ser a sua dimensão dois que eu vou chamar de y e aí então x vamos supor vai ser a massa longitude para convencer a sua latitude é então eu sei que eu tenho uma pessoa que está no ponto aqui ok veja o ponto no plano cartesiano é imediatamente relacionado a um vetor Ok o vetor oi e sai da origem e chega até ser bom Oi e a gente chama o ponto de ela x0 y0 a beleza é isso é exatamente a física do ensino médio Ok o ponto no plano cartesiano e o vetor é eles são essencialmente a o mesmo tipo de coisa mas a gente fala de pontos quando tá em geometria para viver Torres quando tá em álgebra mas essencialmente você pode usar representações de um e de outro sumido e as coisas valem entra um e para o outro também ok às vezes é mais fácil ficar fazendo as coisas perguntas às vezes é mais fácil usar vetores Depende do que você tá fazendo o ok então esse vetor também é chamado de x0 e y0 ok que são as medidas do do nosso vetor porque é x0 y0 porque aqui a gente chega em x 0 ó e aqui estamos em Y Zé é feito não temos pontos em vetores veja os vetores eles não necessariamente Deixa eu voltar não necessariamente um vetor precisa ser uma representação de uma coisa que homogênea Por exemplo quando você tá representando longitude e latitude Você tem uma distância para calma distância para cá os dois são distância pode ser que você esteja sei lá analisando ações na bolsa de valores aí você fala olha isso aqui é o preço por lucro da são e nessa outra dimensão quero saber o a liquidez das ação e você representa ali a sua ação também no plano cartesiano Isso serve para você visualizar os seus dados tá certo mas vamos voltar então o nosso caderno e quando a gente tá no plano cartesiano é implicitamente a gente está dizendo o seguinte isso aqui o x o x o ok esses ele é alguma coisa real esse pessoa também é real Ok então quando a gente tem um. é um inventor quando a gente tem um vetor a gente disse que é um vetor V para por exemplo e bota uma setinha em cima e aí então a gente disse que ele vai ser x0 y0 a gente disse que ele pertence a um conjunto que é o Real em duas"
01 - O que são vetores,"Title: 01 - O que são vetores
Views count: 517
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=cQfY8Epzg0s

a massa longitude para convencer a sua latitude é então eu sei que eu tenho uma pessoa que está no ponto aqui ok veja o ponto no plano cartesiano é imediatamente relacionado a um vetor Ok o vetor oi e sai da origem e chega até ser bom Oi e a gente chama o ponto de ela x0 y0 a beleza é isso é exatamente a física do ensino médio Ok o ponto no plano cartesiano e o vetor é eles são essencialmente a o mesmo tipo de coisa mas a gente fala de pontos quando tá em geometria para viver Torres quando tá em álgebra mas essencialmente você pode usar representações de um e de outro sumido e as coisas valem entra um e para o outro também ok às vezes é mais fácil ficar fazendo as coisas perguntas às vezes é mais fácil usar vetores Depende do que você tá fazendo o ok então esse vetor também é chamado de x0 e y0 ok que são as medidas do do nosso vetor porque é x0 y0 porque aqui a gente chega em x 0 ó e aqui estamos em Y Zé é feito não temos pontos em vetores veja os vetores eles não necessariamente Deixa eu voltar não necessariamente um vetor precisa ser uma representação de uma coisa que homogênea Por exemplo quando você tá representando longitude e latitude Você tem uma distância para calma distância para cá os dois são distância pode ser que você esteja sei lá analisando ações na bolsa de valores aí você fala olha isso aqui é o preço por lucro da são e nessa outra dimensão quero saber o a liquidez das ação e você representa ali a sua ação também no plano cartesiano Isso serve para você visualizar os seus dados tá certo mas vamos voltar então o nosso caderno e quando a gente tá no plano cartesiano é implicitamente a gente está dizendo o seguinte isso aqui o x o x o ok esses ele é alguma coisa real esse pessoa também é real Ok então quando a gente tem um. é um inventor quando a gente tem um vetor a gente disse que é um vetor V para por exemplo e bota uma setinha em cima e aí então a gente disse que ele vai ser x0 y0 a gente disse que ele pertence a um conjunto que é o Real em duas dimensões Ok É porque ele tá mulher Real em duas dimensões prefere é claro que ele poderia estar em três dimensões em 4 ou em iene se você já fez algum tipo de análise de qualquer coisa praticamente Qualquer coisa a gente sai ali se a gente não tá lidando com o espaço e tempo a gente sai desse limite de duas ou três dimensões Ok bem e por quê que isso é uma representação elegante do meu do meu problema não é porque a invés de eu ter duas variáveis para representar a mesma grandeza eu tenho uma variável só e passou a ser nesse ver aqui ok é bem é isso que sai de um vetor que eu voltar é você acha que serve um vetor é essencialmente uma forma de abstrair o fato de que a gente mais de uma coisa de escrevendo daquela grandeza isso tem uma série de implicações no cálculo certo e matéria de coisas legais que a gente pode fazer com vetores em cálculo eu acho que a gente na vida que tá daqui para frente ok então é isso pessoal abraço até breve"
02 - Soma de vetores,"Title: 02 - Soma de vetores
Views count: 141
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=pxULaufWqIE

o ok pessoal Tiago falando e se você chegou até aqui você já sabia que tem um vetor e sabe da relação entre vetores e pontos Ok vetores para você fazer certo tipo de representações em álgebra pontos para você fazer representações geométricas Ok e a gente vai falar agora de soma de vetores quer dizer como que você soma vetores e em outras palavras como que você tem essa operação Zinho aqui você tem o seu vetor ver um essa certinho aqui tem um vetor V dois que essa outra certinha como que a gente pode ver um mas o V2 Ok eu vou está dimensões aqui só para ficar é mais fácil ok aqui ó agora chamar de x e y depois eu vou comentar sobre os a XY as dimensões dos Ventos Ok olha que são dois vetores aqui também R2 então aí o que a gente vai fazer vai pegar o ver um e vai dizer que ele é igual a X1 y1 Espera aí eu vejo direitinho x 1,51 eu ver dois igualmente mas seu X2 Y2 sempre sem esquecer a certinho cima pra dizer que dá uma vetor Tá certo quando a gente tem o V1 é mais V2 é isso aqui vai ser igual a um vetor que é X1 + X2, y1 o + Y2 Ou seja você pegou cada dimensão e somou isoladamente eu só o resultante disso vai ser a mesma coisa que você pegar esse vetor vê um ou o vendedor se você quiser pegar e colocar ele como se você tivesse começado esse vetor V2 e na pontinha do ver um certo se tivesse igual Se você tivesse colocado um ver um na pontinha do V2 esse aqui você vai ter o ver um mas é dois certo é gente isso é a operação mais tranquilinha de fazer com soma de vetores Ok Isso é muito usado em robótica em animações e certa para você faz falar coisas por exemplo olha eu estou me movendo em relação ao navio mas o navio se mexe também relação ao mar mas o mar tem uma correnteza em relação ao referencial do zero e fazendo essa soma de vetores você encontra uma velocidade resultante do que tá vindo por aí OK vamos fazer um exemplo numérico rapidamente é para gente não passar batido nisso amor vamos supor aqui nosso ver um seja igual a exemplo numérico botar em vermelho aqui a meu ver um vai ser igual a um meu ver dois vai ser igual a meu chip tá um pouquinho grande ali então ele foi dois 0,5 então meu ver um mais V2 e vai ter que ser igual a 1 + 2 = 3 é um 0,51 + 0,5 que isso aqui vai dar um três um e-mail um ok a em geral a gente trabalha bastante com computador está fazer a soma de vetores quando a gente está com vetores com uma dimensão muito alta ou então em uma o muito ou são muitos fatores a serem tomados aqui aí pessoal abraço até a próxima"
03 - Multiplicação por escalar,"Title: 03 - Multiplicação por escalar
Views count: 109
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=JBt5PZz8IAw

o ok pessoal Tiago falando e se você chegou até aqui você tá estudando vetores e você já sabe o que que é um vetor da sabe somar vetores e agora a gente vai multiplicar vetores por escalares é e o que que é isso significa vamos lá deixa eu ver com meu caderno aqui E aí é tão bom quando a gente multiplica um vetor por um escalar a gente tem dois duas coisas agindo né a gente tem nosso vetor V vai ser ele vai estar em RN Ok R2 ac3r quatro que você quiser e a gente vai ter um escalar eu vou chamar de a que vai ser um número real Ok por quê que tem que importante eu te veja só nós vamos ver sendo Pinguinho aí agora eu vou ter que ter uma discussão Lembra que eu falei que usar XY para as dimensões da certo para duas menções tá bom onde tem três dimensões e vamos ver agora quando você com essa botar ele dimensões as letras do alfabeto a cada um rapidinho Ok então eu vou chamar o nosso ver onde o x 1 x 2 3 até xn ok e quando a gente faz a multiplicação por escalar a gente vai encontrar um vetor como é que eu vou chamar de u Oi ok e a vezes ver Nestor inicio aqui vai ser igual a Avenida x 1 x 2 ax3 vamos lá Peraí a X1 e a x 2 e assim por diante até a XP Ok veja que eu resolvi para ele dimensões podia ter feito para duas tá certo mas de fato a gente o rapaz me para aí a gente já resolve isso tudo beleza e fica aqui eleições é importante de novo pessoal assim coisas em duas dimensões são as coisas partes certo são as coisas no espaço plano etc muito importante para questões como a frente de calor eletricidade eletromagnetismo Tu tá em duas ou três dimensões quando a gente começa a trabalhar com análise de dados a gente rapidamente é começa a ter coisa sem muitas e muitas dimensões e é por isso que a gente precisa de sempre saber como representar coisas e muitas e muitas dimensões Ok então é isso pessoal multiplicação por escalar é isso e eu vou falar um pouquinho mais disso daqui a pouquinho"
"04 - Multiplicação por Escalar, parte 2: neutro e nulo","Title: 04 - Multiplicação por Escalar, parte 2: neutro e nulo
Views count: 92
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=0_ju0-jzBCg

o ok pessoal Tiago falando eu queria continuar rapidamente nessa discussão sobre multiplicações de vetores por escalares Ok é e lembrando aonde estávamos Veja a gente chegou nesse ponto aqui em que a gente sabia fazer a multiplicação por escalar algumas coisas muito importantes é que eu não falei no outro vídeo que eu quero falar nesse tá se a vale um então o é igual a Vi Tá certo ou seja se meu a for um minha resposta é igual a minha entrada o que faz muito sentido ai igual a um é neutra em relação a multiplicação ok o destino a = 0 o meu vai ser goza Ok é sempre igual a zero abrir a zero zero zero NX Zero Ok até 10 em cada dimensão aqui ou seja se eu multipliquei meu meu vetor por um escalar zero eu encontro um vetor nulo Ok é essa condição aqui é muito importante a gente vai evitá-la de propósito em várias situações que a gente vai ver daqui para frente Beleza então é isso acaba eu não tinha pessoal então é isso por enquanto sobre é multiplicação por escalar e a gente continua daqui a pouquinho"
05 - Produto Escalar,"Title: 05 - Produto Escalar
Views count: 130
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=j0ziVE-rUsY

é uma vetores sabe multiplicar vetores por escalares agora a gente vai multiplicar vetores por vetores e se tem duas operações de multiplicação de vetores por vetores e que a gente vai ver nesse vídeo é uma mais simples de todas Claro se chama produto escalar Ok e vamos lá então aonde eu estou aqui prontinha produto escalar a situação é a seguinte eu tenho lá eu vou fazer em 2D lá só pra gente conseguir visualizar depois eu deduzo em.rn a gente vai ter nosso Vector 1 ó e vai ter o nosso vetor 2 o ok Eles estão aqui nas dimensões x 1 x 2 Oi Espera aí deixa eu botar esse modelo boneca mais bonita X2 Ah tá certo a gente gostaria então de fazer um produto escalar deles o que que é o produto escalar o produto escalar ele anotação dele tem algumas aí a gente pode falar é G1 a bolinha G2 eu também tenho essa votação usando os sinais de menor e maior e o produto escalar ele é calculado como ele vai ser um número certo para dizer a resposta dele é real Ok então nosso produto escalar é real e esse produto ele vai ser igual a ao X1 e do div 1 Às vezes o X1 de ver dois mais o x 2 div 1 às vezes 1 x 2 DVD 2 Oi OK quer que significa que você pegou o cada dimensão multiplicou depois somou tudo a nossa extrapolarmos isso para RN Nós vamos pegar um velho algum vetor eu falo vamos fazer um vetor Verde aqui um vetor verde verde e tem RN E aí então o produto escalar dele é ver 1 e 2 e em RN o produto escalar vai ser igual a somatória Oi Rayane igual a 1 até n grande ou seja para cada dimensão eu vou ter uma parcela de ver um o pavê n do vetor um vezes VN o perdão xn e do vetor 1 x 1 x n do vetor 2 e agora a gente repara que eu tô tendo problema de notação aqui ok e como é que eu sei que esse um aqui não é elevado a um o elevado a 2 bom agora a gente tá discutindo produtos calado para não aconteça a gente consegue saber coisas que eu vejo as pessoas fazendo botar entre parênteses oi ou então voltar com, em vez de botar o X1 desse jeito a escrita fica x 1,1 só que o problema é que a gente começa a botar muita coisa aqui Vamos tentar combinado de usar lá no anotação mais clara possível certo para as nossas as nossas aulas perfeito Então vamos lá e agora que a gente saber calcular o produto escalar era aí cadeia agora que a gente sabe como calcular o produto escalar acho que com próximo passo é encontrar uma aplicação esse produto está lá ok abraço"
06 - Coordenadas Polares,"Title: 06 - Coordenadas Polares
Views count: 113
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=deKa6oHrskw

o ok pessoal Tiago falando e se você chegou até aqui você sabe que tem um vetor sabe somar vetores sabe multiplicar vetores por escalares Ok e provavelmente você já viu o primeiro vídeo sobre o produto escalar também e antes de prosseguir Eu queria conversar um pouquinho sobre coordenadas polares ok que outra maneira de que apresentar o vetor e comec as coordenadas polares funcionam vamos lá e a gente vai começar com nosso vetor é lá que está bem XY e eu vou chamar esse xy-xy de quadrados retangulares porque eu estou num retângulo ok também podem ser coordenadas cartesianas enfim eu como você preferir aí na sua escola de tênis de pensamento Ok e a gente vai ter lá o nosso Vector Vilma e aqui e ele tá lá em x 0 Opa y z a beleza só que separa uma coisa esse vetor ele bate no eixo X Claro em x 0 e ele bate no eixo Y né em y10 ele e se vê tudo ele tem um comprimento certo esse comprimento como isso aqui é um ângulo reto né Isso aqui vai ser a hipotenusa de x0 y0 ou seja esse comprimento que é o módulo do vetor que eu vou chamar de robô é igual ao módulo de ver um o Ou se você quiser também se pode chamar de Norma L2 de ver um Isso aqui vai ser igual à raiz quadrada bom como é x 0 ao quadrado mais Y 10 ao quadrado isso tudo raiz aqui a raiz não disso daqui teorema de Pitágoras nos dias perfeito e a gente também tem uma outra coisa a gente tem esse ângulo teto aqui ok esse ângulo tetra repara o cosseno dele é x 0 / a tela e fazemos na verdade um ficou sistema dele é o cateto oposto é isso mesmo É sim o cosseno dele é o cateto oposto sobre hipotenusa o seno é o cateto adjacente sobre hipotenusa e à tangente dele é x0 y0 então a gente sabe que a tangente de testa Esse é o cateto oposto sobre cateto adjacente Ok ou seja reta é igual arco tangente é de x 0 y z Se você passar seu vetor com essa notação roer testa 80 determinam unicamente cada vetor possível de x 0 é de cada parte zero y0 está ligado a um único par ou Stephanie Ok então a gente chama isso de transformação de coordenadas porque na verdade você está representando a mesma coisa mas em outros tipos de coordenada algumas vezes é mais fácil lidar com x e y outras vezes é mais fácil você lidar com o espeta Ok é isso pessoal abraço até breve"
07 - Produto Escalar em Coordenadas Polares,"Title: 07 - Produto Escalar em Coordenadas Polares
Views count: 250
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=3awMUpyu7-I

o ok pessoal Tiago falando se você chegou até aqui você tá estudando um pouquinho de vetores né E a gente vai falar agora de produtos escalares em coordenadas polares Então você deveria saber o que é um vetor O que é um produto escalar e o que são coordenadas polares se você não sabe volta atrás de um pouquinho e veja os vídeos vão ter anteriores Ok então vamos lá eu tenho então eu produto escalar com coordenadas polares e como é que ele vai funcionar lembra que quando tinha V1 o vetor um eu vou chamar essa aqui de X1 y1 só para manter em duas dimensões porque em coordenadas polares estão em duas dimensões e também pode ser representado como comum tá tão Ok eu tenho meu de escrever dois e vai ser o X2 e Y2 também vai ser igual ro2 reta dois eles são absolutamente arbitrários ali no meu clã Ok então eu sei que ver um escalar V2 e vai ser igual ao número real Ok e ver se é igual a x 1 x 2 + Y um Y Tá certo a isso aqui é um número real Oi Espera aí é sério quando estou em coordenadas polares Ok eu vou ter essa mesma quantidade sendo igual a multiplicação dos módulos vezes o cosseno do ângulo entre os vetores Ok Ou seja eu vou ter com um ou dois vezes o cosseno de ter tão menos teto dois Ah mas até 12 vezes até um até pelo menos a cada dois tanto fácil porque eu cosseno é uma função par Tá certo então você vai ter o mesmo resultado Ah tá ok e esse isso daqui amanhã a gente pode passar um tempo tentando deduzir isso acho que você quiser pode não tem problema eu realmente não tô com vontade de fazer isso em vídeo porque não não é tem várias deve ter uma Você pode encontrar na internet você pode calcular essa quantidade é certamente igual a essa Ok eu só que também é um número real quer que isso aqui significa isso aqui é a parte mais importante por enquanto significa que se os vetores dizer em 90 graus uma relação ao outro o produto escalar vai ser 0 service eles são eles fazem 90 graus um com o outro quer dizer que eles são ortogonais ok Eles são chamados de ortogonais you o ou seja se eu tiver essa situação aqui em que eu tenho um vetor aqui um aqui eles têm um ângulo de 90 graus entre eles eu quero calcular o produto escalar o produto escalar Entre esses dois vetores aqui vai ser zero ok beijo chamar isso aqui de inventor 11 12 e eu sei que o um a escalar com o 2 vai ser zero por quê que isso é muito importante esse resultado aqui é muito legal porque você pode usar isso para isso como resultado para dizer Ok eu quero um vetor em tal direção ou de tal módulo que seja ortogonal a esse outro isso você começa a ganhar restrições nos seus problemas OK você começa a ganhar domínio sobre como montar o seu espaço de vetores quando você precisar perfeito então eles não têm essas duas maneiras de calcular o produto escalar o do pisca lá sempre tem como resultado um número escalar Ok instalar que é um número real Ok então é isso pessoal Muito obrigado até breve"
08 - Mudança de Base em Vetores - um Exercício,"Title: 08 - Mudança de Base em Vetores - um Exercício
Views count: 135
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=jrC3ZuV20Wc

o ok pessoal Tiago falando e se você chegou até aqui você sabe muita teoria sobre vetores e a gente vai falar agora sobre um exercício pera aí sim sobre um exercício usando vetores Ok é que vai ser um exercício teórico mas que vai servir para uma festa circo são para a gente ter um pouquinho e depois da série então vamos lá e o problema é esse aí eu sei que eu tenho um vetor V um que ele é dado por a vezes um mais de vezes o menos um e o vetor eu Vale três quatro é seu legal b34 lembrando para nesse caso A e B são reais ok estão escalados para resolver esse exercício o que você precisa fazer é simplesmente montar a equação né aí quer dizer esse o ver um Na verdade ele ele vai ser igual a um a mais um ver com um a menos um bebê Ok fazer um a mais um b e um a menos um de Ok Isso vai ser igual a 34 então você pode ter o seguinte sistema de equações é pera aí a + b = 3 a menos B = qual a bom aí você pode somar as duas equações encontrar aquele dois a = 7 bom e você pode subtrair as duas equações encontrar aqui 2 B = -1 e portanto a vai ser 3,5 e B vai ser - 0,5 e a veja pessoal a resolver numericamente esse problema Ok é legal e tudo mas olha que interessante a gente tem a gente tem essa situação na com a gente escreveu um vetor três quatro como uma função de outros dois vetores quer dizer a gente mudou a base dos nossos vetores era do trade está em casa a gente tá enxergando enxergando a gente pode ver como a gente tem que eu voltar aqui como nós temos duas equações e duas incógnitas a gente pode saber que a solução é única certo é para qualquer para a e b executar qualquer valor que eu colocar aqui a solução vai vai ser única ou seja sempre um mapeamento um-para-um quando a gente faz uma mudança de bases é por quê que isso é importante vão acha que uma das coisas mais importantes que existem é você saber e quando você escreve que ver um O Vale 3/4 é isso aqui na verdade significa três vezes um vetor 10 mais quatro vezes um vetor 01 já que a gente tem uma soma de vetores e multiplicações por escalar Ok e esses vetores aqui 1001 são os vetores é tipicamente chamado de Base canônica é esse vetor 10 costuma ser chamado de i.a. e o vetor 01 costuma ser chamado DJ quando nós estamos em 3D e isso vira a 100 100 1000 10 são irmãos e os vetores de base e j-rock com vetores ortogonais entre si e compõem uma base para a gente é trabalhar com os nossos vetores Ok então é isso pessoal sempre que você vê vetores fé lembra que na verdade eles vêm de uma multiplicação escalar Ok é isso então um grande abraço e até breve"
09 - Produto Vetorial,"Title: 09 - Produto Vetorial
Views count: 110
Publish date: 2021-03-15 00:00:00
Author: Tiago Tavares
Description: Unknown
Link video: https://www.youtube.com/watch?v=DHNUmOYCJC8

o ok pessoal Tiago falando e se você chegou até aqui você já sabe fazer um produto escalar de especialmente você sabe que não vetor quando você coloca lá os números vinhos no vetor cada um deles é um cantor que está multiplicando um dos vetores da base na qual você escreveu o seu vetor se você não sabe disso volta no vídeo anterior que eu falo um exercício sobre isso ok E lembra que eu falei que a gente tem duas maneiras de multiplicar vetores e a mais simples é a multiplicação instalar agora a gente vai falar de outro produto que não é um multiplicação não é o produto escalar e sem o produto vetorial e ele vai gerar um vetor Ok então vamos a ele tá bom como que a gente calcula um produto vetorial isso vem muito de uma definição matemática tá e depois a gente vai trabalhar com os motivos pelos quais o produto vetorial é assim e quais são as aplicações mas primeiro Vamos aprender a calcular a tirar isso da da nossa frente tá vamos lá lembra que quando você tem um vetor V um e o produto vetorial é sempre em 3D tá quando é em 2D você diz que mudar as invenções Vale 0 mas continua da mesma forma e eu já vou explicar o que que acontece em dois dele mas professorial para definido a com os leitores estão em 3D está em 3D eu posso chamar eles de x e vamos ver ok então um vetor V um sempre vai ser x 1 x e lembra aqueles vetores de base e o primeiro vetor de base Tá mas y1x J é mais dizer um Opa vezes cá Ok é em que lembra kiwi é o 100 o J O que é vetor vetor igual a zero um zero e k = 00 um ok e a gente vai ter nosso ver todo dois e vai ser x 2x e mais y-2x J mais e 2xk Ok sendo que X1 y1 dublado xyz são todos reais está eu não vou escrever isso para não ficar poluindo aqui a a tela EA gente quer calcular um V3 E aí vai ser um vetor que vai ser igual a multiplicação vetorial Então você um xizinho choque entre v1 e V2 1 o procedimento para fazer esse cálculo é o seguinte você vai fazer uma matriz para seguinte fala e j.k. X1 y1 X2 Y2 G2 a gente vai Calcular o determinante dessa Matriz ok Oh e vamos lá para o cálculo nem cálculo de determinante que a gente vai fazer yz2 xz bom então vamos apertar e pessoa um dizer 2x de o Max o x 21 XJ O Max tá acabando aqui no espaço só um segundinho mas agora tem esse daqui que é o x 1 Y 2 x z o x 1 Y 2 x z - o X2 y1 vezes cá ou menos X1 G2 XJ ou menos e agora é o do inec vai ser um Y 21 a 12 e 1 x 1 bom então você sempre fica isso daqui Ok então você encontra que isso vai ser igual a vou anotar aqui como resultado Ok = Y Z 2 - Y2 z1x e o Max e a o x 2 G1 - x102 XJ um mais um e a x 1 Y 2 ou menos y a 1 x 2 x cá isso aqui é tudo Vector que eu esqueci de colocar anotação ver por aqui em azul ok Que bom isso é como faz a conta do produto vetorial e eu queria encerrar esse vídeo porque ele tá ficando realmente muito longo a 7 bom assim é que a gente faz a conta do produto vetorial é o produto vetorial e gera um vetor OK e eu acabei de ver que se inscrever por baixo da minha da minha figurinha ali na no caderno Ok mas o produto vetorial gera um vetor esse vetor que é gerado pelo produto vetorial é ortogonal aos dois vetores que estão sendo multiplicadas e nos próximos vídeos eu vou falar mais sobre isso OK Abraço"
